date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:19	79464/79464	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:10%20GMT	http://96.8.93.198/	C:/My%20Web%20Sites/Intellicast/96.8.93.198/index.html	(from )
16:51:19	1464/1464	U-----	200	untouched ('OK')	text/plain	etag:%2242664c9fa6c81:0%22	http://96.8.93.198/robots.txt		(from )
16:51:19	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22f703ee630c1cf1:0%22	http://96.8.93.198/favicon.ico	C:/My%20Web%20Sites/Intellicast/96.8.93.198/favicon.ico	(from http://96.8.93.198/)
16:51:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202019%2020:51:11%20GMT	http://www.intellicast.com/Scripts/AppMeasurement.js	C:/My%20Web%20Sites/Intellicast/www.intellicast.com/Scripts/AppMeasurement.2.delayed	(from http://96.8.93.198/)
16:51:20	15521/15521	U-----	200	untouched ('')	application/javascript	etag:%2260dd605503ee21fcb2edf15e606a74d3%22	http://icons.wxug.com/scripts/modernizr/2.8.2/modernizr.min.js	C:/My%20Web%20Sites/Intellicast/icons.wxug.com/scripts/modernizr/2.8.2/modernizr.min.js	(from http://96.8.93.198/)
16:51:20	155/155	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202019%2020:51:11%20GMT	http://96.8.93.198/Storm/Hurricane/Track.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Storm/Hurricane/Track.4.delayed	(from http://96.8.93.198/)
16:51:20	13450/13450	U-----	200	untouched ('')	application/javascript	etag:W/%225afd4afe-348a%22	http://cdnjs.cloudflare.com/ajax/libs/underscore.js/1.4.4/underscore-min.js	C:/My%20Web%20Sites/Intellicast/cdnjs.cloudflare.com/ajax/libs/underscore.js/1.4.4/underscore-min.js	(from http://96.8.93.198/)
16:51:20	144/144	---M--	302	error ('Found')	text/html	date:Thu,%2011%20Jul%202019%2020:51:11%20GMT	http://96.8.93.198/Members/Login.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Members/Login.5.delayed	(from http://96.8.93.198/)
16:51:20	130/130	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202019%2020:51:11%20GMT	http://96.8.93.198/Subscriptions/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Subscriptions/Default.6.delayed	(from http://96.8.93.198/)
16:51:21	155/155	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202019%2020:51:11%20GMT	http://96.8.93.198/Storm/Hurricane/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Storm/Hurricane/Default.7.delayed	(from http://96.8.93.198/)
16:51:21	0/-1	---M--	301	error ('')			http://96.8.93.198/Storm/Hurricane/Track.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Storm/Hurricane/Track.8.delayed	(from http://96.8.93.198/)
16:51:21	0/-1	---M--	301	error ('')			http://96.8.93.198/Storm/Hurricane/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Storm/Hurricane/Default.a.delayed	(from http://96.8.93.198/)
16:51:21	398826/398826	U-----	200	untouched ('OK')	application/x-javascript	etag:%22e7ae5fead15cd01:0%22	http://96.8.93.198/Video/amp.premier/amp.premier.min.js	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Video/amp.premier/amp.premier.min.js	(from http://96.8.93.198/)
16:51:21	2342/2342	U-----	200	untouched ('OK')	text/css	etag:%226ed8d91f376d01:0%22	http://96.8.93.198/Video/videos.css	C:/My%20Web%20Sites/Intellicast/96.8.93.198/Video/videos.css	(from http://96.8.93.198/)
16:51:21	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202019%2020:51:13%20GMT	http://96.8.93.198/About/Contact.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/About/Contact.b.delayed	(from http://96.8.93.198/)
